Реплика;Эмоция;;;
Она переутомила?;Surprise;;;
Она беспокоилась?;Fear;;;
Не беспокой!;Anger;;;
Она не волновалась?;Surprise;;;
Майся!;Sadness;;;
Она злилась!;Anger;;;
Она томилась?;Sadness;;;
Она не поражала!;Anger;;;
Не отпугивай?;Surprise;;;
Она скисала!;Sadness;;;
Не упейся.;Anger;;;
Она не перепугала?;Surprise;;;
Не взъярись?;Surprise;;;
Она не расстраивала!;Joy;;;
Не заволнуйся!;Joy;;;
Она оживила.;Joy;;;
Она не устрашалась?;Joy;;;
Не заволнуйся?;Surprise;;;
Она хмурилась?;Sadness;;;
Прискучь.;Sadness;;;
Не поражай.;Neutral;;;
Не беспокойся.;Joy;;;
Она не восхитила!;Sadness;;;
Гордись!;Joy;;;
Не расцветай!;Sadness;;;
Печалься?;Sadness;;;
Затрави!;Anger;;;
Она волновала!;Fear;;;
Она жалела?;Sadness;;;
Она не восторгалась.;Sadness;;;
Она не волновала.;Sadness;;;
Она опупела!;Surprise;;;
Она не взъярилась.;Neutral;;;
Она обрадовалась?;Joy;;;
Она не ужасала?;Surprise;;;
Не сохни?;Surprise;;;
Она поднимала!;Neutral;;;
Она освежала?;Joy;;;
Она не оживила!;Neutral;;;
Она не подивила?;Surprise;;;
Она рассмешила.;Joy;;;
Не зли.;Anger;;;
Она не страшила!;Joy;;;
Не сокрушайся!;Joy;;;
Растревожь.;Fear;;;
Освежайся?;Joy;;;
Она замучилась!;Sadness;;;
Она не отчаялась?;Joy;;;
Не истомись?;Surprise;;;
Перепугайся.;Fear;;;
Устраши?;Fear;;;
Она не изумляла?;Surprise;;;
Она не тревожила.;Neutral;;;
Сторонись!;Anger;;;
Не омрачись.;Joy;;;
Она не смущала.;Neutral;;;
Она не вдохновлялась!;Sadness;;;
Она потрясала!;Surprise;;;
Она не смущала!;Joy;;;
Не хвати?;Surprise;;;
Не нервируй?;Neutral;;;
Потрясай?;Surprise;;;
Она не злела.;Joy;;;
Не домучься?;Surprise;;;
Она не поразилась.;Sadness;;;
Не дрейфи!;Joy;;;
Взбеси?;Anger;;;
Томись!;Sadness;;;
Не блаженствуй!;Sadness;;;
Она улыбалась?;Joy;;;
Она не раздражала?;Surprise;;;
Она помрачила!;Sadness;;;
Она не раздавила.;Neutral;;;
Не поощряй!;Anger;;;
Не раздави.;Neutral;;;
Раздосадуйся!;Sadness;;;
Она не плакала!;Joy;;;
Она подружилась?;Joy;;;
Серди?;Anger;;;
Рассердись!;Anger;;;
Обрадуйся?;Joy;;;
Она не позабавилась!;Sadness;;;
Она не подшучивала?;Surprise;;;
Сломи?;Anger;;;
Не убивай.;Fear;;;
Она спугивала.;Fear;;;
Она рыдала?;Sadness;;;
Не потоскуй.;Joy;;;
Она не удручала.;Joy;;;
Подави?;Surprise;;;
Хвати!;Neutral;;;
Прискучь?;Sadness;;;
Она ослепила.;Neutral;;;
Она не томилась!;Joy;;;
Она не восторгала.;Sadness;;;
Не обмирай.;Joy;;;
Погневайся?;Anger;;;
Огорчись!;Sadness;;;
Не запугай!;Anger;;;
Она услаждалась?;Joy;;;
Она поразилась?;Surprise;;;
Не озлись?;Surprise;;;
Не подави?;Surprise;;;
Она не устрашилась!;Joy;;;
Она не маялась!;Joy;;;
Затрави.;Anger;;;
Не изной.;Joy;;;
Обижайся?;Sadness;;;
Убивай!;Anger;;;
Она не утомлялась!;Joy;;;
Она переволновала!;Fear;;;
Она беспокоилась.;Fear;;;
Она трепетала?;Fear;;;
Огорчись?;Sadness;;;
Вознегодуй.;Anger;;;
Тушуйся!;Fear;;;
Она надоела?;Sadness;;;
Разволнуй?;Fear;;;
Она не любила!;Sadness;;;
Фыркай.;Anger;;;
Она свирепела!;Anger;;;
Не обожай.;Sadness;;;
Она не проплакала!;Joy;;;
Она не печалила?;Surprise;;;
Не обмирай?;Surprise;;;
Не восхищайся!;Sadness;;;
Она возликовала?;Joy;;;
Не взъярись!;Anger;;;
Окрысься!;Anger;;;
Она ужасалась?;Fear;;;
Переживай?;Fear;;;
Она убивалась!;Sadness;;;
Она изумляла?;Surprise;;;
Не возмути?;Surprise;;;
Она раздавила?;Surprise;;;
Не запугивай.;Anger;;;
Не умайся?;Surprise;;;
Она не рассерчала?;Fear;;;
Восторгайся?;Joy;;;
Она ненавидела?;Anger;;;
Она не воскресила!;Neutral;;;
Она стращала!;Fear;;;
Позлись.;Anger;;;
Она не ободрилась!;Sadness;;;
Она леденела!;Neutral;;;
Она напугалась.;Fear;;;
Она окрылилась?;Joy;;;
Не порадуй.;Sadness;;;
Она не подосадовала?;Surprise;;;
Не разъяри?;Surprise;;;
Шантажируй?;Surprise;;;
Не возненавидь?;Surprise;;;
Она бесила?;Anger;;;
Не переволнуй.;Neutral;;;
Не переутомляй.;Neutral;;;
Хандри?;Sadness;;;
Она не улыбнулась?;Sadness;;;
Встревожься?;Fear;;;
Подбодрись!;Joy;;;
Блаженствуй?;Joy;;;
Она восхищалась.;Joy;;;
Позли?;Anger;;;
Она не удручила!;Joy;;;
Она не надеялась.;Sadness;;;
Она не изумляла!;Neutral;;;
Она глушила!;Неграмматично;;;
Не захандри.;Joy;;;
Она достала?;Surprise;;;
Она забеспокоилась!;Fear;;;
Развеселись.;Joy;;;
Она расстраивала?;Sadness;;;
Беспокой?;Fear;;;
Она унывала!;Sadness;;;
Возликуй?;Joy;;;
Она встревожилась!;Fear;;;
Не позлись?;Surprise;;;
Она не позлила.;Neutral;;;
Хлебни?;Surprise;;;
Она восхитила?;Joy;;;
Она не взбесила?;Surprise;;;
Она не вспылила!;Joy;;;
Воскреси.;Neutral;;;
Она обрадовалась.;Joy;;;
Она не улыбалась!;Sadness;;;
Подивись!;Surprise;;;
Она насытилась?;Surprise;;;
Она не остолбенела?;Surprise;;;
Она недоумевала.;Anger;;;
Перенервничай.;Fear;;;
Она изумилась?;Surprise;;;
Не преследуй!;Anger;;;
Она понравилась.;Joy;;;
Она посетовала!;Sadness;;;
Она не разгневалась?;Surprise;;;
Она воодушевилась!;Joy;;;
Она не веселилась!;Sadness;;;
Не насмехайся!;Sadness;;;
Она извелась.;Sadness;;;
Изнемоги.;Sadness;;;
Она пьянела!;Anger;;;
Поверь!;Anger;;;
Терпи?;Surprise;;;
Она не перенервничала.;Neutral;;;
Она не радовала.;Sadness;;;
Она не изумилась?;Surprise;;;
Невзлюби!;Anger;;;
Она убивалась.;Sadness;;;
Она не обозлилась!;Joy;;;
Не озлобляй?;Surprise;;;
Она удивляла.;Surprise;;;
Она не просияла?;Sadness;;;
Не испугайся.;Neutral;;;
Не трясись!;Anger;;;
Она не обалдевала.;Neutral;;;
Озлобляйся?;Anger;;;
Она обижалась?;Sadness;;;
Она не потрясла.;Neutral;;;
Восхищайся!;Joy;;;
Скорби.;Sadness;;;
Она разъярила!;Anger;;;
Упивайся?;Surprise;;;
Не позлись!;Anger;;;
Не фыркай.;Anger;;;
Заволнуйся!;Fear;;;
Она не измочаливала!;Anger;;;
Замучься.;Sadness;;;
Не обалдевай?;Surprise;;;
Не измайся!;Joy;;;
Она побаивалась.;Fear;;;
Не туманься.;Неграмматично;;;
Она угрожала.;Anger;;;
Истоскуйся!;Sadness;;;
Она не ненавидела!;Joy;;;
Она не позлила!;Joy;;;
Она не приободрилась?;Fear;;;
Она не помучилась!;Joy;;;
Она не обалдела!;Neutral;;;
Не разгневай!;Fear;;;
Она не перетрусила.;Joy;;;
Смей?;Surprise;;;
Она радовала!;Joy;;;
Не рассмейся.;Sadness;;;
Не побаивайся?;Surprise;;;
Не взбадривайся!;Sadness;;;
Нервничай?;Fear;;;
Не посмейся!;Sadness;;;
Стыдись?;Fear;;;
Оплакивай!;Sadness;;;
Она не захандрила?;Surprise;;;
Она заинтересовала.;Joy;;;
Переболей!;Sadness;;;
Она побоялась!;Fear;;;
Не обозлись?;Surprise;;;
Стервеней!;Anger;;;
Улыбнись!;Joy;;;
Она содрогалась!;Fear;;;
Смущай?;Fear;;;
Осточертей!;Anger;;;
Не дуйся.;Joy;;;
Она удивляла!;Surprise;;;
Жги!;Joy;;;
Она не казнилась!;Anger;;;
Она повредила.;Anger;;;
Доставай?;Surprise;;;
Она не изнервничалась!;Anger;;;
Не воскреси.;Neutral;;;
Она потрясла!;Surprise;;;
Не тоскуй?;Surprise;;;
Она не расстроилась.;Joy;;;
Она взбеленила!;Anger;;;
Она озлобила!;Anger;;;
Наскучь!;Sadness;;;
Покайся.;Anger;;;
Она изныла.;Sadness;;;
Не подосадуй!;Joy;;;
Освещай.;Joy;;;
Она подавила!;Anger;;;
Торжествуй?;Joy;;;
Она не поражалась.;Sadness;;;
Она не печалилась?;Surprise;;;
Вознегодуй?;Anger;;;
Не весели?;Sadness;;;
Потоскуй!;Sadness;;;
Не убивайся.;Joy;;;
Она не возненавидела.;Joy;;;
Она не обозлилась?;Surprise;;;
Омрачайся!;Sadness;;;
Не поникни?;Surprise;;;
Она не омрачала!;Joy;;;
Не потрясай!;Anger;;;
Не сердись?;Surprise;;;
Взбеси.;Anger;;;
Не диви.;Neutral;;;
Не омрачайся?;Surprise;;;
Поплачь!;Sadness;;;
Не скисни.;Joy;;;
Она не опупела.;Neutral;;;
Она не погрустила!;Joy;;;
Она кисла!;Sadness;;;
Она не огорчалась!;Joy;;;
Она не воскрешала.;Neutral;;;
Она не улыбнулась.;Sadness;;;
Не злобься.;Joy;;;
Она затравила.;Anger;;;
Она не недоумевала!;Surprise;;;
Она не тосковала?;Surprise;;;
Она не спугивала!;Anger;;;
Она обижалась!;Sadness;;;
Она не рыдала!;Joy;;;
Не расстрой?;Surprise;;;
Не намыкайся.;Anger;;;
Не смейся.;Sadness;;;
Она не переутомила.;Joy;;;
Она разобиделась?;Sadness;;;
Не изнури!;Neutral;;;
Она не освежалась?;Surprise;;;
Не расстрой!;Anger;;;
Она сосала?;Surprise;;;
Она обеспокоила!;Fear;;;
Она не боялась.;Neutral;;;
Намучься?;Sadness;;;
Она не стращала.;Neutral;;;
Она умаяла?;Sadness;;;
Болей.;Sadness;;;
Стоскуйся.;Sadness;;;
Не выстрадай.;Joy;;;
Она возмутила!;Anger;;;
Она процветала.;Joy;;;
Она обрадовалась!;Joy;;;
Она не опечаливала.;Joy;;;
Она прискучила!;Sadness;;;
Она напугалась?;Fear;;;
Не надейся.;Sadness;;;
Не разозлись.;Fear;;;
Она не обидела!;Joy;;;
Не вытерпи!;Neutral;;;
Поражай!;Surprise;;;
Она не восхитилась.;Sadness;;;
Она не измотала.;Joy;;;
Она содрогалась.;Fear;;;
Она пошутила!;Joy;;;
Позлорадствуй?;Anger;;;
Не убей?;Surprise;;;
Не переволнуйся.;Neutral;;;
Она не дивилась?;Surprise;;;
Удовлетворись!;Joy;;;
Она не поразила?;Surprise;;;
Не смущайся?;Surprise;;;
Мучь!;Sadness;;;
Приободрись!;Joy;;;
Она покаялась?;Surprise;;;
Она не свирепела!;Joy;;;
Она не подавила?;Surprise;;;
Порази?;Surprise;;;
Она пугнула?;Fear;;;
Она сломилась.;Sadness;;;
Она не убила.;Joy;;;
Она помрачала?;Sadness;;;
Она наскучила?;Sadness;;;
Она подавила.;Anger;;;
Она не обеспокоилась?;Surprise;;;
Прискучивай!;Sadness;;;
Она не скисла?;Surprise;;;
Она не обмирала.;Joy;;;
Она не взбесила.;Neutral;;;
Она не опостылела?;Surprise;;;
Захватывай?;Surprise;;;
Порадуй.;Joy;;;
Не утомляйся?;Surprise;;;
Она затосковала!;Sadness;;;
Она испугала?;Fear;;;
Она не торжествовала?;Surprise;;;
Она не стосковалась.;Joy;;;
Расстройся.;Sadness;;;
Подосадуй.;Sadness;;;
Она изнемогла?;Sadness;;;
Она не глушила?;Surprise;;;
Не изумляй.;Neutral;;;
Не проклинай.;Fear;;;
Она тряслась!;Fear;;;
Она не скучала.;Joy;;;
Загорюй?;Sadness;;;
Она не намыкалась!;Anger;;;
Сконфузься.;Fear;;;
Не воскресни.;Sadness;;;
Она не освещала!;Sadness;;;
Не приуной?;Surprise;;;
Она изнывала?;Sadness;;;
Она не шантажировала!;Neutral;;;
Она злобилась.;Anger;;;
Расцветай!;Joy;;;
Не надуйся!;Joy;;;
Обомри!;Sadness;;;
Она не намыкалась.;Неграмматично;;;
Она обижалась.;Sadness;;;
Не натерпись.;Neutral;;;
Не настрадайся?;Surprise;;;
Не поплачь!;Joy;;;
Удивляй.;Surprise;;;
Она скорбела!;Sadness;;;
Она не возмущалась?;Surprise;;;
Ободрись?;Joy;;;
Она пела!;Neutral;;;
Она не обиделась!;Joy;;;
Не трясись?;Surprise;;;
Не взбеленись.;Fear;;;
Омрачай.;Sadness;;;
Она изнемогла!;Sadness;;;
Запугай!;Fear;;;
Жги.;Joy;;;
Не перепугай.;Neutral;;;
Не захватывай.;Neutral;;;
Соскучься?;Sadness;;;
Она не насладилась!;Sadness;;;
Не переживай.;Joy;;;
Изнуряй!;Sadness;;;
Она не настрадалась?;Surprise;;;
Злей!;Anger;;;
Уважай.;Neutral;;;
Не заинтересуй?;Surprise;;;
Она вознегодовала!;Anger;;;
Она пьянела.;Neutral;;;
Нервируй!;Fear;;;
Она не обеспокоила?;Surprise;;;
Не конфузься.;Joy;;;
Отчаивайся!;Sadness;;;
Не потряси!;Anger;;;
Она ликовала?;Surprise;;;
Воспрянь!;Joy;;;
Она не беспокоилась.;Joy;;;
Она не запугала.;Joy;;;
Она не скисала.;Joy;;;
Она не удивляла!;Sadness;;;
Не повеселей!;Sadness;;;
Она стосковалась?;Sadness;;;
Она не нарадовалась!;Sadness;;;
Она взбеленилась!;Anger;;;
Она не рассвирепела?;Fear;;;
Ослепи.;Anger;;;
Не злобствуй?;Surprise;;;
Терроризируй?;Anger;;;
Она тосковала?;Sadness;;;
Утомляйся.;Sadness;;;
Она не изнуряла?;Surprise;;;
Не казнись!;Joy;;;
Изматывай?;Sadness;;;
Возрадуйся?;Joy;;;
Она не восхищала.;Sadness;;;
Она ликовала!;Joy;;;
Не веселись?;Sadness;;;
Заледеней!;Neutral;;;
Она не резвилась.;Sadness;;;
Она хандрила?;Sadness;;;
Она не удивила.;Sadness;;;
Не перетревожь.;Неграмматично;;;
Она опечаливала.;Sadness;;;
Она не ужасала!;Neutral;;;
Не истомись.;Neutral;;;
Вспыли!;Anger;;;
Она негодовала?;Anger;;;
Она не подивилась?;Surprise;;;
Домучься?;Sadness;;;
Не изнемоги!;Joy;;;
Не разгневайся?;Surprise;;;
Она обожала?;Joy;;;
Не опостылей!;Anger;;;
Не процветай!;Sadness;;;
Она не наскучила.;Joy;;;
Не рассерчай?;Surprise;;;
Не переутоми!;Anger;;;
Скучай.;Sadness;;;
Не переутоми.;Anger;;;
Закручинься?;Sadness;;;
Она не хихикала?;Surprise;;;
Не угрюмей!;Joy;;;
Она не тревожилась.;Joy;;;
Она не злела?;Surprise;;;
Она стосковалась.;Sadness;;;
Она не осерчала?;Surprise;;;
Волнуй!;Fear;;;
Не паникуй!;Neutral;;;
Она досадовала!;Sadness;;;
Не нарадуйся!;Sadness;;;
Она не насмехалась?;Surprise;;;
Она раздосадовалась.;Sadness;;;
Она не помрачилась?;Surprise;;;
Не раздави?;Surprise;;;
Она расстраивалась?;Sadness;;;
Она не радовалась.;Sadness;;;
Развлекись!;Joy;;;
Не тушуйся.;Joy;;;
Раздразнивай?;Surprise;;;
Ужаснись?;Fear;;;
Позлорадствуй.;Anger;;;
Гордись.;Joy;;;
Она не обожала?;Sadness;;;
Она пригорюнилась?;Sadness;;;
Не жалей.;Joy;;;
Не поникни.;Joy;;;
Она устыдилась?;Fear;;;
Позабавься!;Joy;;;
Не позли.;Fear;;;
Не пугани!;Fear;;;
Ужасайся!;Fear;;;
Она не разволновала?;Surprise;;;
Страши!;Fear;;;
Она не изныла.;Joy;;;
Печаль.;Sadness;;;
Она не промаялась.;Joy;;;
Не озлобляй.;Neutral;;;
Она резвилась!;Joy;;;
Она не ужасалась.;Joy;;;
Она не перенервничала!;Joy;;;
Травмируй.;Anger;;;
Не убивайся!;Joy;;;
Не страшись?;Surprise;;;
Не интересуйся?;Surprise;;;
Она взбеленилась?;Anger;;;
Она подивила.;Surprise;;;
Не обомри!;Anger;;;
Она не возненавидела?;Surprise;;;
Она не озлила!;Joy;;;
Подступай?;Surprise;;;
Страшись!;Fear;;;
Она не развеселила.;Sadness;;;
Она не растревожила!;Joy;;;
Она развеселилась!;Joy;;;
Она удовлетворялась!;Joy;;;
Она захандрила.;Sadness;;;
Спугивай?;Fear;;;
Она огорчила.;Sadness;;;
Струси!;Fear;;;
Удивляйся!;Surprise;;;
Не любуйся.;Sadness;;;
Понравься?;Joy;;;
Прослезись!;Sadness;;;
Стыдись.;Fear;;;
Не расцвети!;Sadness;;;
Не промайся?;Surprise;;;
Наскучивай.;Sadness;;;
Она терроризировала.;Anger;;;
Не любуйся?;Surprise;;;
Не изнемогай?;Surprise;;;
Она не уважала!;Anger;;;
Она не перепугала!;Joy;;;
Травмируй!;Anger;;;
Не льсти!;Anger;;;
Не страшись.;Joy;;;
Она не изнывала!;Joy;;;
Погрустней?;Sadness;;;
Она поразила.;Surprise;;;
Она побаивалась?;Fear;;;
Не осерчай?;Surprise;;;
Переживай.;Sadness;;;
Она не смеялась?;Sadness;;;
Она жгла?;Surprise;;;
Не болей!;Joy;;;
Изнывай!;Sadness;;;
Она не боялась!;Joy;;;
Она обидела?;Sadness;;;
Она грустила!;Sadness;;;
Не гнети?;Surprise;;;
Озлобляйся.;Anger;;;
Испугайся!;Fear;;;
Не плачь.;Joy;;;
Она не озлобилась.;Joy;;;
Тяготи!;Sadness;;;
Не освещай?;Surprise;;;
Она переволновала.;Fear;;;
Не утомляйся!;Joy;;;
Не опечалься!;Joy;;;
Понравься.;Joy;;;
Она мучилась.;Sadness;;;
Она не угнетала?;Fear;;;
Не болей?;Surprise;;;
Она не выстрадала?;Surprise;;;
Омрачись.;Sadness;;;
Она не расстроилась!;Joy;;;
Любуйся.;Joy;;;
Она не надоела.;Joy;;;
Она омрачала!;Sadness;;;
Она не измучилась.;Joy;;;
Поощряй?;Joy;;;
Не привязывайся.;Neutral;;;
Раздражай?;Anger;;;
Не трепещи!;Joy;;;
Она давила!;Neutral;;;
Разозлись.;Anger;;;
Не осознавай.;Neutral;;;
Топай?;Surprise;;;
Она понервничала?;Fear;;;
Она не выстрадала.;Joy;;;
Повеселись?;Joy;;;
Она поникла!;Sadness;;;
Раздави!;Neutral;;;
Она любила.;Joy;;;
Она не воскресила.;Neutral;;;
Она не понравилась?;Sadness;;;
Не возмущай?;Surprise;;;
Она ужаснулась.;Fear;;;
Она не подбодрилась?;Surprise;;;
Разъярись!;Anger;;;
Обмирай?;Sadness;;;
Она не сохла.;Joy;;;
Она не приунывала.;Joy;;;
Не перетерпи!;Anger;;;
Не прогневайся?;Surprise;;;
Помрачайся.;Sadness;;;
Не изматывай?;Surprise;;;
Она не потосковала.;Joy;;;
Она процветала!;Sadness;;;
Не освежи?;Surprise;;;
Радуй?;Joy;;;
Освежайся.;Joy;;;
Не надивись.;Neutral;;;
Казнись.;Sadness;;;
Она не остолбенела.;Neutral;;;
Она не негодовала.;Joy;;;
Помрачи!;Fear;;;
Не злорадствуй?;Surprise;;;
Она не приунывала?;Joy;;;
Она злобилась?;Anger;;;
Сломись?;Surprise;;;
Не смущайся.;Joy;;;
Она не разозлилась?;Fear;;;
Она хватила!;Neutral;;;
Она не подружилась.;Sadness;;;
Развлеки?;Joy;;;
Она не стеснялась.;Joy;;;
Надейся.;Joy;;;
Радуй!;Joy;;;
Изматывай!;Sadness;;;
Она не промаялась!;Joy;;;
Она опасалась.;Fear;;;
Просияй.;Joy;;;
Наскучивай!;Neutral;;;
Она озлила!;Anger;;;
Не услаждайся?;Sadness;;;
Она не освещала.;Neutral;;;
Не взбесись.;Fear;;;
Она ужаснулась!;Fear;;;
Озли?;Anger;;;
Она не стосковалась!;Joy;;;
Она осерчала!;Anger;;;
Она не устыдилась!;Joy;;;
Она перенервничала.;Fear;;;
Взорвись?;Surprise;;;
Она погоревала?;Sadness;;;
Не разозлись!;Fear;;;
Рассердись?;Anger;;;
Она струхнула!;Fear;;;
Она не помрачила.;Joy;;;
Воскресай?;Surprise;;;
Понравься!;Joy;;;
Она блаженствовала?;Joy;;;
Не разочаруйся!;Neutral;;;
Приободряйся.;Joy;;;
Труси.;Fear;;;
Она не удовлетворяла!;Anger;;;
Переволнуй.;Fear;;;
Разобидься.;Sadness;;;
Не взбадривайся.;Sadness;;;
Переволнуйся!;Fear;;;
Загорюй.;Sadness;;;
Она не стервенела.;Joy;;;
Она обеспокоилась!;Fear;;;
Она ужаснула.;Fear;;;
Не глуши?;Surprise;;;
Не пугай!;Anger;;;
Тревожься.;Fear;;;
Заскучай!;Sadness;;;
Не весели.;Sadness;;;
Не надоешь.;Joy;;;
Сердись.;Anger;;;
Привязывайся!;Neutral;;;
Преследуй.;Neutral;;;
Не убойся?;Surprise;;;
Злей.;Anger;;;
Нарадуйся.;Joy;;;
Не расстраивайся?;Joy;;;
Не развлекись.;Sadness;;;
Она не расцветала?;Surprise;;;
Она не освежилась.;Neutral;;;
Она не злобствовала?;Surprise;;;
Убей?;Anger;;;
Она дивилась!;Surprise;;;
Не устрашайся?;Surprise;;;
Она не застращала?;Surprise;;;
Она не приуныла!;Joy;;;
Не трясись.;Neutral;;;
Она утомлялась.;Sadness;;;
Она не ослепила!;Neutral;;;
Не воодушевись.;Sadness;;;
Тяготи.;Sadness;;;
Она разгневала!;Anger;;;
Не поражай?;Surprise;;;
Не захватывай?;Surprise;;;
Она не закручинилась!;Joy;;;
Она не обижалась.;Joy;;;
Не струси!;Joy;;;
Она не недоумевала?;Surprise;;;
Не переболей!;Fear;;;
Не удручай.;Joy;;;
Она напугалась!;Fear;;;
Она тяготила!;Sadness;;;
Не ободряйся!;Sadness;;;
Она тосковала!;Sadness;;;
Она не исстрадалась.;Joy;;;
Ужасай?;Fear;;;
Не переверни.;Neutral;;;
Она не встряхивалась!;Neutral;;;
Она не поражалась!;Neutral;;;
Промайся?;Sadness;;;
Не раздражай!;Anger;;;
Она разочаровала!;Sadness;;;
Не точи!;Anger;;;
Не серчай.;Fear;;;
Она не хлебнула!;Anger;;;
Серди!;Anger;;;
Она не побаивалась?;Surprise;;;
Она не раздразнивала.;Neutral;;;
Она не казнилась?;Surprise;;;
Не злорадствуй!;Anger;;;
Убивайся?;Sadness;;;
Не беспокой.;Neutral;;;
Испугайся.;Fear;;;
Растревожь?;Fear;;;
Она извелась?;Sadness;;;
Она убила.;Anger;;;
Не помучься!;Joy;;;
Она не истомилась?;Surprise;;;
Рыдай?;Sadness;;;
Сокрушайся?;Sadness;;;
Не скисай?;Surprise;;;
Она подавляла!;Anger;;;
Она возмутила?;Anger;;;
Она не удручала?;Surprise;;;
Она услаждалась.;Joy;;;
Не взорви.;Neutral;;;
Она осознавала!;Neutral;;;
Не сокруши?;Surprise;;;
Она не взбодрилась.;Sadness;;;
Она конфузилась?;Fear;;;
Она не озлобила!;Joy;;;
Волнуйся?;Fear;;;
Она не позлорадствовала?;Surprise;;;
Не никни!;Joy;;;
Она точила!;Neutral;;;
Не подави!;Anger;;;
Не помрачи!;Joy;;;
Не обрадуй!;Sadness;;;
Она не раздразнивала?;Surprise;;;
Она изумила?;Surprise;;;
Она льстила.;Joy;;;
Она недолюбливала!;Anger;;;
Она тушевалась!;Fear;;;
Она проплакала.;Sadness;;;
Она обозлила.;Anger;;;
Она не хмурилась.;Joy;;;
Не разочаруй?;Surprise;;;
Не разъярись!;Fear;;;
Возрыдай!;Sadness;;;
Злись!;Anger;;;
Беспокойся!;Fear;;;
Резвись!;Joy;;;
Она гневалась?;Anger;;;
Она не страшилась.;Joy;;;
Она не стыдилась!;Joy;;;
Она исстрадалась!;Sadness;;;
Окрылись.;Joy;;;
Порадуйся.;Joy;;;
Печалься.;Sadness;;;
Не соскучься?;Surprise;;;
Не растревожь!;Anger;;;
Не струхни.;Joy;;;
Не разозли!;Fear;;;
Она не поникла?;Surprise;;;
Она не помрачила!;Joy;;;
Обомри.;Fear;;;
Она не перевернула.;Neutral;;;
Раздосадуйся.;Sadness;;;
Не позабавься?;Surprise;;;
Она помрачала.;Sadness;;;
Она не переболела?;Surprise;;;
Она приободрялась!;Joy;;;
Не волнуй!;Anger;;;
Не оживи.;Neutral;;;
Глуши.;Sadness;;;
Позли.;Anger;;;
Она не угрюмела.;Joy;;;
Не тяготи.;Anger;;;
Она не устрашала!;Joy;;;
Не позабавься.;Sadness;;;
Она не ужаснулась?;Surprise;;;
Умай.;Sadness;;;
Разгневайся?;Anger;;;
Не изнемоги.;Neutral;;;
Позлись!;Anger;;;
Не посмейся?;Surprise;;;
Она не кручинилась!;Joy;;;
Она наскучила!;Sadness;;;
Не свирепей.;Fear;;;
Не удивись!;Neutral;;;
Не казнись?;Surprise;;;
Она не пошутила!;Sadness;;;
Она не утомилась?;Surprise;;;
Не ужаснись!;Surprise;;;
Жалей!;Sadness;;;
Она не расцвела!;Sadness;;;
Не надуйся.;Anger;;;
Помрачайся!;Sadness;;;
Она не переболела!;Sadness;;;
Она не возвеселилась?;Sadness;;;
Она возненавидела!;Anger;;;
Она ранила.;Sadness;;;
Она не повеселилась!;Sadness;;;
Не напугайся?;Surprise;;;
Истерзайся!;Sadness;;;
Не разнервничайся!;Joy;;;
Не загорюй?;Surprise;;;
Не встревожься.;Joy;;;
Она омрачилась.;Sadness;;;
Она приободрялась?;Joy;;;
Она не проклинала?;Fear;;;
Не коли?;Surprise;;;
Она не гордилась?;Sadness;;;
Она захватывала!;Neutral;;;
Сокрушайся!;Sadness;;;
Насмехайся?;Surprise;;;
Она не фыркала?;Surprise;;;
Она не сокрушила.;Joy;;;
Не взвой!;Anger;;;
Она не умаивала!;Joy;;;
Грусти.;Sadness;;;
Не соси?;Surprise;;;
Изуми?;Surprise;;;
Не рань?;Surprise;;;
Она не прискучивала!;Joy;;;
Она воскрешала!;Joy;;;
Пой!;Joy;;;
Она обозлила?;Anger;;;
Измочаливай.;Sadness;;;
Рань.;Sadness;;;
Она измучилась?;Sadness;;;
Она позлила.;Anger;;;
Она освежилась!;Joy;;;
Не взволнуйся?;Surprise;;;
Она запугивала!;Fear;;;
Она подивилась?;Surprise;;;
Не интересуйся!;Anger;;;
Не злорадствуй.;Neutral;;;
Не осерчай!;Fear;;;
Она не обеспокоилась!;Surprise;;;
Она нервировала!;Fear;;;
Она не истосковалась?;Surprise;;;
Она не понравилась!;Anger;;;
Приободряйся?;Joy;;;
Она обожала!;Joy;;;
Она обрадовала.;Joy;;;
Намыкайся?;Неграмматично;;;
Она не посмеивалась!;Sadness;;;
Пошути?;Joy;;;
Она не разъярилась.;Neutral;;;
Она трусила!;Fear;;;
Встревожь.;Fear;;;
Она оплакала?;Sadness;;;
Она не поплакала.;Joy;;;
Она не струсила?;Surprise;;;
Не трепещи?;Surprise;;;
Она не возрадовалась.;Sadness;;;
Она сокрушалась.;Sadness;;;
Унывай?;Sadness;;;
Не погорюй!;Joy;;;
Не освежай.;Neutral;;;
Она не воскресала?;Surprise;;;
Она возликовала!;Joy;;;
Она волновала?;Fear;;;
Не насыщайся.;Sadness;;;
Она не беспокоила.;Neutral;;;
Она не выстрадала!;Anger;;;
Она ярилась?;Anger;;;
Не осточертей!;Anger;;;
Она позабавилась?;Joy;;;
Встряхивайся!;Joy;;;
Серди.;Anger;;;
Переутоми!;Sadness;;;
Не невзлюби.;Anger;;;
Она не разгневалась!;Surprise;;;
Прослезись.;Sadness;;;
Она пугнула!;Fear;;;
Она не восторгалась?;Sadness;;;
Не подиви.;Neutral;;;
Она смущалась.;Fear;;;
Она ошеломила!;Surprise;;;
Терроризируй.;Anger;;;
Она упилась.;Neutral;;;
